NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,postcode_cleaned,house_number,latitude,longitude,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,CODE_STAND_RECORD
17KF02,D,VSTZ,Hervion College voor Mavo Vbo Lwoo,Jacob van Maerlantstraat 4.0 ,5216jl,4,51.6861018,5.319568299999999,5216JL,'S-HERTOGENBOSCH,Noord-Brabant,Closed,Secondary Branch Location,18.0,2000s,2020s,2002-08-01 to 2020-08-01,2002-08-01,2020-08-01,H
16VK,U,VOS,Dr Mollercollege Rk Sgm V Lyc Havo Mavo Vbo,Burgemeester Moonenlaan 5.0 ,5141ej,5,51.68623239999999,5.060944,5141EJ,WAALWIJK,Noord-Brabant,Active,Regular Secondary School,109.0,1910s,,1916-01-09 to Present,1916-01-09,,H
18XL,U,VOS,Hezeland College Gennep voor MAVO VBO LWOO,Stiemensweg 40.0 ,6591md,40,51.6873801,5.981039099999999,6591MD,GENNEP,Limburg,Closed,Regular Secondary School,59.9,1940s,2000s,1947-09-01 to 2007-08-01,1947-09-01,2007-08-01,H
02TV,U,VOS,Walewyc Mavo,Vredesplein 11.0 ,5142ra,11,51.6874396,5.0722927,5142RA,WAALWIJK,Noord-Brabant,Closed,Regular Secondary School,99.6,1900s,1990s,1900-01-01 to 1999-08-01,1900-01-01,1999-08-01,H
23DB,U,PROS,Praktijkschool De Loint,Van Duvenvoordestraat 7.0 ,5141bp,7,51.6879031,5.0537933,5141BP,WAALWIJK,Noord-Brabant,Active,Practical Education,36.4,1980s,,1988-09-01 to Present,1988-09-01,,H
17XS,U,VOS,RK IVO MAVO,Sint Josephstraat 18.0 -20,5211nj,18,51.68978269999999,5.307822199999999,5211NJ,'S-HERTOGENBOSCH,Noord-Brabant,Closed,Regular Secondary School,97.6,1900s,1990s,1900-01-01 to 1997-08-01,1900-01-01,1997-08-01,H
13TE,U,VOS,D'Oultremontcollege SGM v ATH HAVO MAVO VBO,Dillenburgstraat 46.0 ,5151gl,46,51.6904101,5.140649799999999,5151GL,DRUNEN,Noord-Brabant,Closed,Regular Secondary School,13.0,1980s,1990s,1986-08-01 to 1999-08-01,1986-08-01,1999-08-01,H
20AJ,U,VOS,Stedelijk Gymnasium,Mercatorplein 2.0 ,5223ll,2,51.6905776,5.289255900000001,5223LL,'S-HERTOGENBOSCH,Noord-Brabant,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
26CC,U,AOCV,Helicon Opleidingen,Kooikersweg 2.0 ,5223ka,2,51.6916306,5.2778092,5223KA,'S-HERTOGENBOSCH,Noord-Brabant,Closed,Agricultural Education,23.6,1990s,2020s,1998-01-01 to 2021-08-01,1998-01-01,2021-08-01,H
17KF,U,VOS,Van Maerlant voor Mavo Vbo Lwoo,Onderwijsboulevard 1.0 ,5223de,1,51.6916319,5.287878399999999,5223DE,'S-HERTOGENBOSCH,Noord-Brabant,Active,Regular Secondary School,53.5,1970s,,1971-08-01 to Present,1971-08-01,,H
