NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,location_type,function_type,education_type,temporal_status,years_of_operation
00KW,U,VOS,secondary,main,CHR STREEKSCH DE POORT,Boveneindsestraat 6.0 ,4041EJ,KESTEREN,Gelderland,1900-01-01,1997-08-01,False,H,VOS,U,Regular Secondary School,Historical,97.6
00LE,U,VOS,secondary,main,Christelijke School voor Mavo Weidebeek,Hulststraat 2.0 B,8091TX,WEZEP,Gelderland,1900-01-01,1998-08-01,False,H,VOS,U,Regular Secondary School,Historical,98.6
00LJ,U,VOS,secondary,main,Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo,Slingelaan 28.0 ,7122AW,AALTEN,Gelderland,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00LJ,U,VOS,secondary,main,Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo,Slingelaan 28.0 ,7122AW,AALTEN,Gelderland,1900-01-01,,True,A,VOS,U,Regular Secondary School,Active,125.1
00LJ01,D,VSTS,secondary,locations,Chr Sgm V Ath Havo Mavo Vbo Schaersvoorde,Europastraat 6.0 ,7091XC,DINXPERLO,Gelderland,1900-01-01,2023-08-01,False,H,VSTS,D,Secondary Branch Location,Historical,123.6
00LJ01,D,VSTS,secondary,locations,Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo,Europastraat 6.0 ,7091XC,DINXPERLO,Gelderland,1900-01-01,2023-08-01,False,H,VSTS,D,Secondary Branch Location,Historical,123.6
00LJ01,D,VSTS,secondary,locations,Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo,Europastraat 6.0 ,7091XC,DINXPERLO,Gelderland,1900-01-01,2023-08-01,False,A,VSTS,D,Secondary Branch Location,Historical,123.6
00LJ02,D,VSTS,secondary,locations,Chr Sgm V Ath Havo Mavo Vbo Schaersvoorde,Noteboomstraat 20.0 ,7101MG,WINTERSWIJK,Gelderland,1900-01-01,,True,H,VSTS,D,Secondary Branch Location,Active,125.1
00LJ02,D,VSTS,secondary,locations,Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo,Noteboomstraat 20.0 ,7101MG,WINTERSWIJK,Gelderland,1900-01-01,,True,H,VSTS,D,Secondary Branch Location,Active,125.1
00LJ02,D,VSTS,secondary,locations,Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo,Pronsweg 3.0 ,7101CE,WINTERSWIJK,Gelderland,1900-01-01,,True,H,VSTS,D,Secondary Branch Location,Active,125.1
00LJ02,D,VSTS,secondary,locations,Christelijk College Schaersvoorde voor Atheneum Havo Mavo Vbo Lwoo,Pronsweg 3.0 ,7101CE,WINTERSWIJK,Gelderland,1900-01-01,,True,A,VSTS,D,Secondary Branch Location,Active,125.1
00LP,U,VOS,secondary,main,Asko Scholengemeenschap V Lyc Havo Mavo Vbo Ivbo,2e C Huygensstr 31.0 ,1054NN,AMSTERDAM,Noord-Holland,1900-01-01,1999-08-01,False,H,VOS,U,Regular Secondary School,Historical,99.6
00LP,U,VOS,secondary,main,ASKO Scholengemeenschap voor Lyceum Havo Mavo VBO Lwoo,2e C Huygensstr 31.0 ,1054NN,AMSTERDAM,Noord-Holland,1900-01-01,1999-08-01,False,H,VOS,U,Regular Secondary School,Historical,99.6
00LT,U,VOS,secondary,main,Internationale School Eerde voor Mavo,Kasteellaan 1.0 ,7731PJ,OMMEN,Overijssel,1900-01-01,2013-08-01,False,H,VOS,U,Regular Secondary School,Historical,113.6
00LT,U,VOS,secondary,main,Internationale School Eerde,Kasteellaan 1.0 ,7731PJ,OMMEN,Overijssel,1900-01-01,2013-08-01,False,H,VOS,U,Regular Secondary School,Historical,113.6
00LY,U,VOS,secondary,main,Pc Rk Sgm Zeldenrustcoll V Ath Havo Mavo Vbo,Zeldenrustlaan 2.0 ,4535GZ,TERNEUZEN,Zeeland,1900-01-01,2018-08-01,False,H,VOS,U,Regular Secondary School,Historical,118.6
00LY,U,VOS,secondary,main,PC RK SGM Zeldenrust Steelantcollege,Zeldenrustlaan 2.0 ,4535GZ,TERNEUZEN,Zeeland,1900-01-01,2018-08-01,False,H,VOS,U,Regular Secondary School,Historical,118.6
00LY,U,VOS,secondary,main,PC RK SGM Zeldenrust Steelantcollege,Zeldenrustlaan 2.0 ,4535GZ,TERNEUZEN,Zeeland,1900-01-01,2018-08-01,False,A,VOS,U,Regular Secondary School,Historical,118.6
00MK,U,VOS,secondary,main,Katholiek Scholengemeenschap De Breul voor Gymnasium Atheneum Havo en Mavo,Arnhemse Bovenweg 98.0 ,3708AG,ZEIST,Utrecht,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00MK,U,VOS,secondary,main,Katholiek Scholengemeenschap De Breul voor Gymnasium Atheneum Havo en Mavo,Arnhemse Bovenweg 98.0 ,3708AG,ZEIST,Utrecht,1900-01-01,,True,A,VOS,U,Regular Secondary School,Active,125.1
00ML,U,VOS,secondary,main,Meridiaancollege Rk Sgm V Lyc Havo Mavo Vbo Ivbo,Daam Fockemalaan 12.0 ,3818KG,AMERSFOORT,Utrecht,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00ML,U,VOS,secondary,main,Meridiaancollege RK SGM v Lyc Havo Mavo Vbo Lwoo,Daam Fockemalaan 12.0 ,3818KG,AMERSFOORT,Utrecht,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00ML,U,VOS,secondary,main,Meerscholen - Het Nieuwe Eemland v Lyc Havo Mavo Vbo Lwoo,Daam Fockemalaan 12.0 ,3818KG,AMERSFOORT,Utrecht,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00ML,U,VOS,secondary,main,Meerscholen - rk sg voor lyceum havo mavo vmbo,Daam Fockemalaan 12.0 ,3818KG,AMERSFOORT,Utrecht,1900-01-01,,True,A,VOS,U,Regular Secondary School,Active,125.1
00MP,U,VOS,secondary,main,Chr Sgm De Heertganck Ath Havo Mavo,Eperweg 34.0 A,8181EW,HEERDE,Gelderland,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00MP,U,VOS,secondary,main,Christelijke Scholengemeenschap de Heertganck/Buys Ballot voor ATH HAVO MAVO VBO,Eperweg 34.0 A,8181EW,HEERDE,Gelderland,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00MP,U,VOS,secondary,main,Christelijk College De Noordgouw,Eperweg 34.0 A,8181EW,HEERDE,Gelderland,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00MP,U,VOS,secondary,main,Christelijk College De Noordgouw,Eperweg 34.0 A,8181EW,HEERDE,Gelderland,1900-01-01,,True,A,VOS,U,Regular Secondary School,Active,125.1
00MV,U,VOS,secondary,main,Chr Sgm Etty Hillesum V Ath Havo Mavo Vbo Ivbo,Drs. F. Bijlweg 6.0 ,1784MC,DEN HELDER,Noord-Holland,1968-03-06,,True,H,VOS,U,Regular Secondary School,Active,56.9
00MV,U,VOS,secondary,main,Christelijke Scholengemeenschap Etty Hillesum voor Lyceum Havo Mavo Vbo Lwoo,Drs. F. Bijlweg 6.0 ,1784MC,DEN HELDER,Noord-Holland,1968-03-06,,True,H,VOS,U,Regular Secondary School,Active,56.9
00MV,U,VOS,secondary,main,Scholen aan Zee 2,Drs. F. Bijlweg 6.0 ,1784MC,DEN HELDER,Noord-Holland,1968-03-06,,True,H,VOS,U,Regular Secondary School,Active,56.9
